Addresses,Prices,Beds,Baths,Square Footage,Zip Code,State,City,Street Address
"114 Brentwood Dr Daphne, AL 36526","$2,100/mo",3bd,2ba,"2,000 sqft",36526,AL,Daphne,114 Brentwood Dr
"167 County Road 1019 Thorsby, AL 35171","$1,495/mo",4bd,2ba,"1,681 sqft",35171,AL,Thorsby,167 County Road 1019
"2135 Kilpatrick Ln Cullman, AL 35055","$1,625/mo",3bd,2.5ba,"1,689 sqft",35055,AL,Cullman,2135 Kilpatrick Ln
"106 Carnegie Ct Dothan, AL 36305","$2,500/mo",3bd,3ba,"2,786 sqft",36305,AL,Dothan,106 Carnegie Ct
"2305 Arlington Cres #C1 Birmingham, AL 35205",$780/mo,Studio,1ba,No Data,35205,AL,Birmingham,2305 Arlington Cres #C1
"2315 Village Center St Hoover, AL 35226","$3,000/mo",3bd,2.5ba,"2,001 sqft",35226,AL,Hoover,2315 Village Center St
"1761 Big Mountain Dr Birmingham, AL 35235","$1,460/mo",4bd,2ba,"1,632 sqft",35235,AL,Birmingham,1761 Big Mountain Dr
"1037 41st St Birmingham, AL 35208",$945/mo,3bd,1ba,"1,226 sqft",35208,AL,Birmingham,1037 41st St
"115 W  Drake Ave  #A Auburn, AL 36830","$1,000/mo",1bd,1ba,No Data,36830,AL,Auburn,115 W  Drake Ave  #A
"26169 Beech Grove Ln   NW Madison, AL 35756","$1,899/mo",4bd,2.5ba,"2,091 sqft",35756,AL,Madison,26169 Beech Grove Ln   NW
"122 Fargo Dr Meridianville, AL 35759","$1,800/mo",3bd,2ba,"1,731 sqft",35759,AL,Meridianville,122 Fargo Dr
"182 Cherry Laurel Dr Hazel Green, AL 35750","$2,150/mo",4bd,2.5ba,"2,572 sqft",35750,AL,Hazel Green,182 Cherry Laurel Dr
"2509 Celia Ct SW Huntsville, AL 35803","$2,200/mo",4bd,2ba,"2,191 sqft",35803,AL,Huntsville,2509 Celia Ct SW
"3213 Clifford Rd NW Huntsville, AL 35810","$1,595/mo",4bd,2ba,"1,800 sqft",35810,AL,Huntsville,3213 Clifford Rd NW
"1259 Amelia Ave Mobile, AL 36608","$1,095/mo",3bd,1ba,864 sqft,36608,AL,Mobile,1259 Amelia Ave
"1801 Winona Ave Montgomery, AL 36107",$995/mo,4bd,2ba,No Data,36107,AL,Montgomery,1801 Winona Ave
"2733 Pelzer Ave Montgomery, AL 36109",$875/mo,3bd,2ba,No Data,36109,AL,Montgomery,2733 Pelzer Ave
"596 Kincaid Cove Ln Odenville, AL 35120","$1,445/mo",3bd,2ba,"1,408 sqft",35120,AL,Odenville,596 Kincaid Cove Ln
"317 Camden Cove Cir Calera, AL 35040","$1,500/mo",3bd,2ba,"1,340 sqft",35040,AL,Calera,317 Camden Cove Cir
"3844 67th Ave Tuscaloosa, AL 35401","$1,150/mo",3bd,1.5ba,"1,236 sqft",35401,AL,Tuscaloosa,3844 67th Ave
